key|product_category_key|vendor_code|shape|color|price|price_color|size|company|country|desc
49||Ottoman|Ottoman|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
50||Oxford|Oxford|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
51||Pavee|Pavee|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
52||Phoenix|Phoenix|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
53||Pine|Pine|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
54||Point|Point|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
55||Punto|Punto|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
56||Pyramid|Pyramid|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
57||Renaissance|Renaissance|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
58||River|River|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
59||Rose|Rose|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
60||Santuk mirror|Santuk mirror|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
61||Santuk|Santuk|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
62||Sea|Sea|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
63||Seagull|Seagull|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
64||Shell|Shell|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
65||Snowflake|Snowflake|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
66||Spica|Spica|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
67||Spot|Spot|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
68||Square|Square|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
69||Stripe|Stripe|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
70||Symmetric|Symmetric|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
71||Tiffany|Tiffany|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
72||Topkapi|Topkapi|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
73||Trefoil|Trefoil|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
74||Tulip trp mirror|Tulip trp mirror|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
75||Tulip|Tulip|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
76||Turquoise|Turquoise|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
77||Valley|Valley|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
78||Volcano|Volcano|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
79||Waltz|Waltz|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
80||Way|Way|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
81||Zebra-2|Zebra-2|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
82||Zebra|Zebra|бесцветное, бронзовое, зеленое, серое, синее, розовое|2250х1650|1250|1650|Dekorglass|Турция|
